GreyhoundName,,GreyhoundName,Earmark,Reg Date,Active,Colour,Sex,Whelp Date,Retirement Type,Status Meaning,NoticeSentBy
ARDFERT JOSIE,795445,ARDFERT JOSIE,VSQAY,,True,be,B,24/08/2020,RET,Still at premises,2022-09-13 07:33:00
ARDFOYLE JOSH,355080,ARDFOYLE JOSH,VDVLZ,,False,bd,D,22/05/2020,DIE,Died/Put To Sleep,2022-04-22 06:07:00
ARDILAUN JO,86862,ARDILAUN JO,TNIBI,,False,bk,D,24/08/2018,DIE,Died/Put To Sleep,2022-09-02 07:33:00
ARDILAUN OSCAR,334258,ARDILAUN OSCAR,UUSMS,,False,bd,D,04/06/2019,DIE,Died/Put To Sleep,2022-02-03 06:05:00
ARDILAUN STAR,86883,ARDILAUN STAR,TNVNV,,False,wbk,D,24/08/2018,EUT,Died/Put To Sleep,2022-03-23 06:03:00
ARDNASOOL CHASE,220062,ARDNASOOL CHASE,UJLZI,,False,bd,D,12/10/2019,DIE,Died/Put To Sleep,2022-07-07 07:33:00
ARDNASSA JACK,493035,ARDNASSA JACK,SXVHY,,False,bk,D,15/05/2017,DIE,Died/Put To Sleep,2022-07-30 07:33:00
ARDRAHAN CASHMAN,634783,ARDRAHAN CASHMAN,UYPHZ,,False,be,D,05/03/2019,DIE,Died/Put To Sleep,2022-09-14 07:33:00
ARDRAHAN JESS,732615,ARDRAHAN JESS,XYTYA,,False,dkbd,B,19/04/2021,EUT,Died/Put To Sleep,2022-09-17 07:33:00
ARDRATH BENNY,665108,ARDRATH BENNY,VLQPM,,False,bk,D,22/05/2020,DIE,Died/Put To Sleep,2022-09-16 07:33:00
ARDRATH PEARL,80408,ARDRATH PEARL,TLPBZ,,True,bk,B,19/07/2018,RET,,2022-01-19 06:11:00
ARDSCULL AGAIN,877442,ARDSCULL AGAIN,XTAQR,,False,bdw,B,11/08/2021,DIE,Died/Put To Sleep,2022-08-31 07:34:00
ARDSCULL BEAUTY,566934,ARDSCULL BEAUTY,UTNVS,,False,bkw,B,26/07/2019,RET,Still at premises,2022-09-03 07:34:00
ARDSCULL GOLD,608447,ARDSCULL GOLD,VTXXS,,False,bk,D,05/11/2020,EUT,Died/Put To Sleep,2022-09-04 07:32:00
ARDSCULL JESS,141217,ARDSCULL JESS,UTNUS,,False,f,B,31/07/2019,DIE,Died/Put To Sleep,2022-09-04 07:32:00
ARDSCULL JOHNJOE,5387,ARDSCULL JOHNJOE,TTBMQ,25/10/2018,True,bk,D,27/07/2018,RET,Still at premises,2022-01-21 06:03:00
ARDSCULL MICK,141057,ARDSCULL MICK,UTBPI,,False,f,D,31/07/2019,DIE,Died/Put To Sleep,2022-03-03 06:02:00
